stu_id,bynels2m,bynels2r,amind,asian,black,white,hispanic,urm,byses1,byincome,bypared,byrace,bypared_nohs,bypared_hs,bypared_attend2,bypared_grad2yr,bypared_4yrgrad,bypared_masters,bypared_phd,female,bydob_p,f1psepln,p_noplan,p_dontknow,p_votech,p_cc,p_fouryr,p_earlygrad,f2evratt,f2ps1sec
409213,56.79999923706055,33.68000030517578,0,1,0,0,0,0,1.2899999618530273,11,8,2,0,0,0,0,0,0,1,0,198603,5,0,0,0,0,1,0,1,1
144129,41.08000183105469,28.790000915527344,0,0,0,1,0,0,-0.49000000953674316,8,2,7,0,1,0,0,0,0,0,1,198604,3,0,0,1,0,0,0,1,9
123211,51.529998779296875,27.920000076293945,0,1,0,0,0,0,0.4300000071525574,10,6,2,0,0,0,0,1,0,0,0,198601,4,0,0,0,1,0,0,1,4
424305,47.970001220703125,38.38999938964844,0,0,0,0,1,1,0.9200000166893005,12,7,4,0,0,0,0,0,1,0,1,198510,4,0,0,0,1,0,0,1,4
235118,20.68000030517578,26.559999465942383,0,0,1,0,0,1,-1.340000033378601,5,2,3,0,1,0,0,0,0,0,0,198602,5,0,0,0,0,1,0,1,4
283217,58.540000915527344,37.119998931884766,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,1
286224,67.69000244140625,30.760000228881836,0,1,0,0,0,0,1.1699999570846558,13,8,2,0,0,0,0,0,0,1,1,198607,5,0,0,0,0,1,0,1,1
363114,42.459999084472656,26.639999389648438,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,4
304127,67.41999816894531,28.469999313354492,0,1,0,0,0,0,-0.20999999344348907,9,5,2,0,0,0,0,0,0,0,0,198601,4,0,0,0,1,0,0,1,4
156119,57.7400016784668,20.729999542236328,0,0,0,1,0,0,-0.20000000298023224,11,2,7,0,1,0,0,0,0,0,0,198605,NA,NA,NA,NA,NA,NA,NA,0,-3
214217,53.06999969482422,32.84000015258789,0,0,0,1,0,0,0.27000001072883606,9,5,7,0,0,0,0,0,0,0,0,198604,2,0,1,0,0,0,0,1,2
115129,41.61000061035156,40.189998626708984,0,0,0,1,0,0,-0.4000000059604645,7,5,7,0,0,0,0,0,0,0,1,198606,NA,NA,NA,NA,NA,NA,NA,0,-3
300222,66.54000091552734,44.83000183105469,0,0,0,1,0,0,1.440000057220459,11,8,7,0,0,0,0,0,0,1,1,198605,5,0,0,0,0,1,0,1,2
141219,70.93000030517578,37.5099983215332,0,0,0,1,0,0,1.149999976158142,11,7,7,0,0,0,0,0,1,0,1,198510,5,0,0,0,0,1,0,1,1
306103,19.229999542236328,12.949999809265137,0,0,0,0,1,1,-1.2200000286102295,5,2,5,0,1,0,0,0,0,0,1,198608,5,0,0,0,0,1,0,0,-3
203107,50.08000183105469,31.6299991607666,0,0,1,0,0,1,-0.20999999344348907,8,4,3,0,0,0,1,0,0,0,0,198510,5,0,0,0,0,1,0,NA,NA
300106,52.40999984741211,25.40999984741211,0,0,0,1,0,0,-0.25,8,4,7,0,0,0,1,0,0,0,0,198606,4,0,0,0,1,0,0,1,4
401231,56.810001373291016,42.61000061035156,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,1
370131,29.40999984741211,19.610000610351563,0,0,0,0,1,1,-1.159999966621399,3,1,4,1,0,0,0,0,0,0,1,198602,NA,NA,NA,NA,NA,NA,NA,0,-3
321106,60.970001220703125,33.93000030517578,0,0,0,1,0,0,0.6800000071525574,12,6,7,0,0,0,0,1,0,0,0,198605,5,0,0,0,0,1,0,1,1
113119,42.75,18.559999465942383,0,0,0,1,0,0,0.5799999833106995,10,7,7,0,0,0,0,0,1,0,0,198608,5,0,0,0,0,1,0,0,-3
408114,42.13999938964844,30.989999771118164,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,1
436210,55.25,35.810001373291016,0,0,0,1,0,0,0.4099999964237213,11,7,7,0,0,0,0,0,1,0,0,198603,5,0,0,0,0,1,0,1,1
400205,59.52000045776367,34.31999969482422,0,1,0,0,0,0,0.8899999856948853,12,8,2,0,0,0,0,0,0,1,1,198610,5,0,0,0,0,1,0,1,1
226211,48.9900016784668,32.209999084472656,0,0,0,1,0,0,-1.100000023841858,8,1,7,1,0,0,0,0,0,0,1,198507,NA,NA,NA,NA,NA,NA,NA,0,-3
381205,24.93000030517578,12.0600004196167,0,0,0,1,0,0,-1.0700000524520874,4,2,7,0,1,0,0,0,0,0,0,198508,1,1,0,0,0,0,0,NA,NA
152202,33.72999954223633,13.9399995803833,0,0,0,1,0,0,-0.07999999821186066,12,2,7,0,1,0,0,0,0,0,0,198603,3,0,0,1,0,0,0,0,-3
310220,60.70000076293945,34.90999984741211,0,0,0,1,0,0,0.3499999940395355,11,3,7,0,0,1,0,0,0,0,0,198511,5,0,0,0,0,1,0,1,4
207106,43.45000076293945,31.540000915527344,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,4
282107,43.369998931884766,27.520000457763672,0,0,0,0,1,1,-0.27000001072883606,10,5,5,0,0,0,0,0,0,0,1,198608,5,0,0,0,0,1,0,0,-3
107203,30.670000076293945,17.540000915527344,0,0,0,0,1,1,-0.7599999904632568,6,2,5,0,1,0,0,0,0,0,1,198607,NA,NA,NA,NA,NA,NA,NA,0,-3
209220,26.31999969482422,26.65999984741211,0,0,0,0,1,1,0.6100000143051147,11,6,4,0,0,0,0,1,0,0,1,198509,NA,NA,NA,NA,NA,NA,NA,1,4
372231,20.450000762939453,13.920000076293945,0,0,1,0,0,1,0.5199999809265137,11,5,3,0,0,0,0,0,0,0,0,198601,NA,NA,NA,NA,NA,NA,NA,NA,NA
259112,24.84000015258789,20.389999389648438,0,0,0,0,1,1,-0.15000000596046448,9,3,4,0,0,1,0,0,0,0,1,198509,2,0,1,0,0,0,0,0,-3
370123,48.22999954223633,34.650001525878906,0,0,0,1,0,0,0.07000000029802322,8,2,7,0,1,0,0,0,0,0,1,198510,6,0,0,0,0,0,1,1,9
345203,28.760000228881836,26.239999771118164,0,0,1,0,0,1,0.03999999910593033,4,6,3,0,0,0,0,1,0,0,0,198612,5,0,0,0,0,1,0,NA,NA
264312,41.900001525878906,29.350000381469727,0,0,0,1,0,0,0.28999999165534973,9,7,7,0,0,0,0,0,1,0,0,198509,5,0,0,0,0,1,0,NA,NA
170123,37.150001525878906,23.040000915527344,0,0,0,1,0,0,-0.07999999821186066,10,5,7,0,0,0,0,0,0,0,0,198512,4,0,0,0,1,0,0,1,4
381211,31.09000015258789,25.65999984741211,0,0,0,0,1,1,-1.0800000429153442,7,2,4,0,1,0,0,0,0,0,1,198608,5,0,0,0,0,1,0,1,1
376117,38.08000183105469,24.65999984741211,0,0,0,0,1,1,-1.649999976158142,4,1,5,1,0,0,0,0,0,0,1,198509,5,0,0,0,0,1,0,0,-3
418206,59.08000183105469,44.400001525878906,0,0,0,1,0,0,-0.1599999964237213,10,4,7,0,0,0,1,0,0,0,1,198601,5,0,0,0,0,1,0,1,1
